Model,Training Accuracy,Testing Accuracy,Precision,Recall,F1 Score
KNN,0.8167006109979633,0.8455284552845529,0.8367346938775511,0.9647058823529412,0.8961748633879781
Random Forest,1.0,0.8292682926829268,0.8478260869565217,0.9176470588235294,0.8813559322033898
XGBoost,1.0,0.8130081300813008,0.8522727272727273,0.8823529411764706,0.8670520231213873
Decision Tree,1.0,0.7642276422764228,0.8255813953488372,0.8352941176470589,0.8304093567251462
